country,city,year,ph,sulphates,chlorides
Australia,Central Coast,2019,9.174697876,45.84531021,29.86396027
Australia,Collie,2010,7.864356041,79.95264435,0
Australia,Collie,2011,3.082348108,24.18039131,15.21913147
Australia,Collie,2012,6.922114372,45.67864227,12.85773468
Australia,Collie,2013,8.032475471,82.71401978,2.054730415
Australia,Collie,2014,13.59567451,14.76478291,68.53781128
Australia,Collie,2015,7.230897903,73.51260376,0
Australia,Collie,2016,2.114744663,16.95103645,14.99199677
Australia,Cygnet,2019,8.924845695,90.73405457,7.45E-09
Australia,Darwin,2013,8.156877518,81.52816772,9.769406319
Australia,Darwin,2014,11.17396641,50.52242279,36.42758942
Australia,Darwin,2014,1.031784058,4.469751358,47.76499557
Australia,Darwin,2015,1.177291751,11.84423351,45.04098511
Australia,Darwin,2015,8.922956467,90.71484375,0
Australia,Darwin,2016,8.922040939,90.70555878,1.86E-09
Australia,Darwin,2016,8.946793556,90.95720673,0
Australia,Darwin,2017,8.915878296,90.64292145,0
Australia,Darwin,2018,8.732329369,88.77687073,0
Australia,Darwin,2019,4.94254303,47.20466232,23.30690575
Australia,Deloraine,2019,8.921243668,90.69745636,0
Australia,Derby,2019,3.64293766,11.54646492,8.107307434
Australia,Devonport,2013,8.935165405,90.83903503,0
Australia,Devonport,2019,7.212753773,65.96218872,21.46308136
Australia,Emu River,2019,1.119565606,3.463837862,39.16298676
Australia,Exeter,2019,12.41195869,70.15234375,13.61974335
Australia,Fingal,2019,4.856367588,2.915580511,43.35448074
Australia,Geelong,2013,2.034763098,18.01454163,43.00738525
Australia,Geelong,2014,10.7427702,54.82691574,22.57401085
Australia,Geeveston,2019,8.947330475,90.96266937,0
Australia,George Town,2019,8.933402061,90.82109833,0
Australia,Geraldton,2010,11.50145721,54.50714874,32.95321655
Australia,Geraldton,2011,8.493962288,87.95292664,3.123246908
Australia,Geraldton,2012,8.91620636,90.64629364,0
Australia,Geraldton,2013,8.113253593,84.44153595,6.836453915
Australia,Geraldton,2014,8.926802635,90.7539978,0
Australia,Geraldton,2015,7.757057667,59.49931717,31.76630211
Australia,Geraldton,2016,8.887003899,90.34939575,0
Australia,Gladstone,2014,9.189824104,8.859570503,59.06556702
Australia,Gladstone,2015,2.462863207,19.35073662,31.82458115
Australia,Gladstone,2016,8.945987701,90.94901276,0
Australia,Gladstone,2019,42.47868347,49.67739105,4.510372162
Australia,Glenorchy,2019,8.646903992,74.35309601,0
Australia,Gold Coast,2019,14.34749317,81.53670502,3.641501665
Australia,Goldfields,2019,24.94288635,64.13761139,3.188646555
Australia,Gretna,2019,24.10144424,71.64659882,1.542023182
Australia,Gunnedah,2019,29.37322998,61.19866943,3.792217255
Australia,Hadspen,2019,43.40087891,43.82204437,6.553604603
Australia,Hobart,2010,16.22485542,83.69424438,0
Australia,Hobart,2011,8.943200111,90.92070007,0
Australia,Hobart,2012,2.171708822,18.15511703,0.067016602
Australia,Hobart,2013,58.79683304,32.87558365,8.316782951
Australia,Hobart,2013,11.22683811,88.72106171,0
Australia,Hobart,2019,1.820019484,4.04642725,0
Australia,Huonville,2019,20.21320915,0.910446107,0
Australia,Ipswich,2015,29.06567001,41.24464417,5.332651615
Australia,Ipswich,2016,3.517953873,25.42967224,0.272293091
Australia,Ipswich,2019,4.332840443,44.04965973,0
Australia,Jondaryan,2015,15.58729362,77.98088074,0.851840854
Australia,Jondaryan,2016,2.10E-07,0,0
Australia,Judbury,2019,50.13948441,42.62055969,6.744057178
Australia,Latrobe,2019,9.328886986,82.38661957,0.10759408
Australia,Latrobe Valley,2013,8.869439125,90.17076111,0
Australia,Latrobe Valley,2014,8.948179245,90.97132111,0
Australia,Latrobe Valley,2019,10.53181458,14.1137867,4.885757446
Australia,Launceston,2013,36.09877396,26.14297867,0.157463074
Australia,Launceston,2019,17.26820946,72.07698059,0.121762991
Australia,Lilydale,2019,14.22386742,85.24249268,0
Australia,Longford,2019,5.176029205,52.6219101,0
Australia,Mackay,2014,11.13383007,87.38061523,1.461154699
Australia,Mackay,2015,29.28824043,26.26925278,0
Australia,Mackay,2016,10.93842602,85.42497253,1.459401369
Australia,Mackay,2019,8.942359924,90.91213989,0
Australia,Melbourne,2010,37.04963303,0,0
Australia,Melbourne,2011,23.22635078,26.26088905,1.812961578
Australia,Melbourne,2012,51.09500122,28.74845695,9.187908173
Australia,Melbourne,2013,33.8890419,0,0
Australia,Melbourne,2014,43.00208282,52.83853531,2.54417491
Australia,Melbourne,2019,0,0,0
Australia,Midwest,2019,5.108566761,27.4134903,0.269569397
Australia,Moranbah,2014,25.03631783,71.36511993,2.519795656
Australia,Moranbah,2015,24.61845016,70.16667175,4.291744232
Australia,Moranbah,2016,0,0,0
Australia,Mornington,2019,24.96086121,43.04501724,3.190254211
Australia,Mount Isa,2014,0,0,0
Australia,Mount Isa,2015,10.30240917,79.9389267,0.383396149
Australia,Mount Isa,2016,16.53520393,83.42769623,0
Australia,Mount Isa,2019,14.63847923,67.41931915,1.823027611
Australia,Muswellbrook,2013,41.18880081,43.59009552,5.466230392
Australia,Muswellbrook,2014,19.05434036,61.41379547,1.142894745
Australia,Muswellbrook,2015,0.003310298,0.039301328,0
Australia,Muswellbrook,2016,0.84510994,8.591810226,0
Australia,Muswellbrook,2019,17.67085266,20.76581573,1.372531891
Australia,Narrabri,2019,15.29693317,80.29293823,4.258328438
Australia,New Norfolk,2019,10.51711845,85.84679413,2.065654278
Australia,Newcastle/Lower Hunter,2013,19.12908363,74.04024506,6.817771912
Australia,Newcastle/Lower Hunter,2014,6.735975266,17.95993233,0.436431885
Australia,Newcastle/Lower Hunter,2015,5.126426697,17.08321381,0.302642822
Australia,Newcastle/Lower Hunter,2016,34.6775589,60.02329636,4.152209282
Australia,Newcastle/Lower Hunter,2019,89.00733948,0,2.217628479
Australia,Oatlands,2019,65.3551178,8.392375946,0
Australia,Orange,2019,92.12413025,0,0
Australia,Palmerston,2012,8.940786362,90.89617157,0
Australia,Palmerston,2014,91.89788055,0,0
Australia,Palmerston,2014,90.27519989,0,2.98E-08
Australia,Palmerston,2015,16.39587402,76.75183105,5.091255188
Australia,Palmerston,2015,0.982222319,9.985681534,0
Australia,Palmerston,2016,7.47831583,91.04460907,0
Australia,Palmerston,2016,95.91516113,1.820042491,0
Australia,Palmerston,2017,17.44558907,82.07511139,0
Australia,Palmerston,2018,57.85651779,29.58386993,0.364643335
Australia,Palmerston,2019,15.35404396,55.49127579,1.04602623
Australia,Perth,2010,53.7156601,2.776789904,0
Australia,Perth,2011,11.06788445,87.98101807,0.107644327
Australia,Perth,2012,29.55801582,60.90229034,0.726778269
Australia,Perth,2013,4.82971859,49.69752121,0
Australia,Perth,2014,11.90092278,87.76689911,0.287001938
Australia,Perth,2015,41.07376862,50.22382736,5.302900791
Australia,Perth,2016,19.93544197,79.29639435,0
Australia,Perth,2016,83.52389526,0,9.916210175
Australia,Perth,2019,90.19163513,0.503173232,3.73E-09
Australia,Perth,2019,14.19490719,83.7448349,1.039391756
Australia,Port Pirie,2017,8.237345695,81.2256546,0.185218811
Australia,Port Pirie,2018,15.91544247,78.57914734,4.711310387
Australia,Port Pirie,2019,28.37823486,71.62176514,0
Australia,Queenstown,2019,9.120824814,79.59480286,0.33853054
Australia,Scottsdale,2019,11.51388359,88.21211243,0
Australia,Sheffield,2019,59.37887955,17.74545097,12.3979311
Australia,Singleton,2013,51.97673416,24.98456383,1.4264431
Australia,Singleton,2014,8.910739899,90.5906601,0
Australia,Singleton,2015,80.21037292,0.910446107,0
Australia,Singleton,2016,91.8110199,0,0
Australia,Singleton,2019,4.507853508,86.37265778,0
Australia,Smithton,2019,12.95840263,75.99491119,0.481566429
Australia,South Launceston,2019,15.4820261,80.06098938,4.377984524
Australia,Southwest,2019,97.19796753,0,0
Australia,St Helens,2019,88.85084534,0,0
Australia,Sunshine Coast,2019,84.97830963,0.115382411,11.62163639
Australia,Sydney,2013,66.16995239,10.92231846,0.728142083
Australia,Sydney,2014,14.09102345,81.73783112,0
Australia,Sydney,2015,66.21260834,26.49899864,0.071762882
Australia,Sydney,2016,8.723434448,90.63878632,0
Australia,Sydney,2019,9.14887619,81.35579681,8.572145462
Australia,Tamworth,2013,84.19728851,0.510990143,0
Australia,Tamworth,2014,84.58917999,0,9.31E-10
Australia,Tamworth,2015,13.55183506,78.88787079,0
Australia,Tamworth,2016,81.23170471,0.022306355,11.94922733
Australia,Tamworth,2019,47.59093475,47.32462311,0
Australia,Townsville,2014,12.1668005,87.70630646,0
Australia,Townsville,2015,94.79614258,0,0
Australia,Townsville,2019,92.32596588,0,0
Australia,Triabunna,2019,8.131494522,91.04460907,0
Australia,Upper Hunter,2014,11.39435768,86.38258362,0
Australia,Wagga Wagga,2013,8.786529541,89.32788849,1.19E-07
Australia,Wagga Wagga,2014,22.12776566,10.36415958,2.96944809
Australia,Wagga Wagga,2015,11.75923443,88.1835022,0
Australia,Wagga Wagga,2016,21.35049057,73.84729767,4.518912315
Australia,Wagga Wagga,2019,11.58925819,87.98229218,0
Australia,West Ulverstone,2019,59.75532913,0,15.37340164
Australia,Westbury,2019,17.39601898,81.08795929,2.98E-08
Australia,Whyalla,2012,93.97281647,0.064227149,0
Australia,Whyalla,2013,88.77306366,0,0
Australia,Whyalla,2014,74.19221497,0,7.501092911
Australia,Whyalla,2015,3.281960249,31.2167511,0.121661894
Australia,Whyalla,2016,2.13103199,21.66506577,0
Australia,Whyalla,2017,8.730809212,88.76139069,2.98E-08
Australia,Whyalla,2018,6.156615734,62.59098434,0
Australia,Whyalla,2019,0,0,0
Australia,Wollongong/Illawarra,2013,7.941410065,78.79974365,1.354180813
Australia,Wollongong/Illawarra,2014,8.548611641,86.90908813,2.98E-08
Australia,Wollongong/Illawarra,2015,8.750918388,88.96588135,2.98E-08
Australia,Wollongong/Illawarra,2016,4.66280365,44.29437637,25.40194321
Australia,Wollongong/Illawarra,2019,4.740763187,45.28377914,34.45592117
Australia,Wynnum,2015,6.096447468,52.12939072,29.67612076
Australia,Wynnum,2016,1.0238204,4.166058064,23.92794418
Australia,Wynyard,2019,8.4696455,87.08773804,3.262606859
Australia,Wyong,2013,9.687408447,81.72640991,7.394735336
Australia,Wyong,2014,6.995031357,32.22926712,4.676492214
Australia,Wyong,2015,8.874488831,90.22215271,0
Australia,Wyong,2016,0,0,0
Australia,Yarwun,2015,61.08979034,5.751556396,12.56908894
Australia,Yarwun,2016,8.912218094,90.60574341,0
Austria,Am Rechen,2013,15.84009552,22.26804733,26.50160408
Austria,Am Rechen,2014,12.69861221,39.0155983,44.68877029
Austria,Am Rechen,2015,18.01818657,75.96278381,5.638850212
Austria,Am Rechen,2016,73.5147171,8.636746407,17.59990692
Austria,Am Rechen,2017,8.878990173,90.26789093,0
Austria,Am Rechen,2018,8.297802925,6.207444668,47.46897125
Austria,Am Rechen,2019,8.954937935,91.04006195,0
Austria,Amstetten,2010,8.136096954,44.66400528,9.858265877
Austria,Amstetten,2013,7.803512573,2.019109011,9.317255974
Austria,Amstetten,2014,19.04014778,75.83487701,4.216671944
Austria,Amstetten,2015,0,0,0
Austria,Amstetten,2016,8.882159233,90.30014038,0
Austria,Amstetten,2017,11.7934866,57.44093323,26.38222504
Austria,Amstetten,2018,12.7664175,4.84832859,26.1184845
Austria,Amstetten,2019,8.950798035,90.99790192,0
Austria,Arnoldstein,2010,8.807192802,88.96514893,0.259765863
Austria,Arnoldstein,2013,7.189813614,39.80199432,42.26006317
Austria,Arnoldstein,2014,45.54666901,17.01392555,27.28220558
Austria,Arnoldstein,2015,9.074849129,29.99415588,48.52227783
Austria,Arnoldstein,2016,8.16962719,62.59763336,0.573432922
Austria,Arnoldstein,2017,5.468336105,11.71628571,63.16807938
Austria,Arnoldstein,2018,8.907432556,90.55706787,0
Austria,Arnoldstein,2019,0.608748853,3.051462889,18.35818481
Austria,Bad Ischl,2010,8.322300911,79.36827087,10.1937685
Austria,Bad Vöslau,2010,8.940278053,90.89102173,3.73E-09
Austria,Bad Vöslau,2013,8.941302299,90.90139771,0
Austria,Bad Vöslau,2014,3.534482002,5.728997707,47.47727203
Austria,Bad Vöslau,2015,9.138792992,56.57362747,3.194646835
Austria,Bad Vöslau,2016,10.02200127,78.90503693,8.647105217
Austria,Bad Vöslau,2017,8.94763279,90.96576691,0
Austria,Bad Vöslau,2018,8.23896122,83.76103973,0
Austria,Bad Vöslau,2019,8.950764656,90.99763489,0
Austria,Biedermannsdorf,2010,9.287321091,11.51120758,58.9091568
Austria,Biedermannsdorf,2013,7.312907219,3.867622852,39.80241394
Austria,Biedermannsdorf,2014,51.7898407,11.52370834,22.75217438
Austria,Biedermannsdorf,2015,22.51360703,4.73208189,24.93684006
Austria,Biedermannsdorf,2016,75.22619629,10.36887169,9.401064873
Austria,Biedermannsdorf,2017,12.74010658,51.77873611,6.633609295
Austria,Biedermannsdorf,2018,16.23036957,78.197052,4.329359531
Austria,Biedermannsdorf,2019,8.810809135,22.68759155,63.03377151
Austria,Bludenz,2010,34.33069611,20.67918205,37.12145615
Austria,Bludenz,2013,33.26152802,55.63381958,10.86521339
Austria,Bludenz,2014,30.78321457,4.830406189,63.38568497
Austria,Bludenz,2015,11.54218483,17.73215485,64.67536163
Austria,Bludenz,2016,0.159679294,1.634135127,0.061990976
Austria,Bludenz,2017,14.2154007,30.18132401,47.47610474
Austria,Bratislava,2010,9.636632919,86.360466,0.573497295
Austria,Bratislava,2013,10.38459206,84.45027924,2.086721182
Austria,Bratislava,2014,15.60335636,40.76787949,29.87617874
Austria,Bratislava,2015,11.31409645,77.37435913,3.526887894
Austria,Bratislava,2016,7.875271797,43.59809494,14.51789856
Austria,Bratislava,2017,25.80897903,26.35539055,41.85906601
Austria,Bratislava,2018,10.98771763,26.77061462,59.64634323
Austria,Bratislava,2019,5.72755003,15.53320885,71.74969482
Austria,Braunau,2010,9.47799778,81.96542358,6.333329201
Austria,Braunau Am Inn,2013,8.767997742,89.13951111,0
Austria,Braunau Am Inn,2014,9.122959137,67.1710434,18.35747719
Austria,Braunau Am Inn,2015,5.075311661,51.70379639,0.607741833
Austria,Braunau Am Inn,2016,28.73903084,44.24349594,16.79935074
Austria,Braunau Am Inn,2017,16.65419769,68.621315,13.75865555
Austria,Braunau Am Inn,2018,6.238469124,53.25310516,37.07863998
Austria,Braunau Am Inn,2019,8.832269669,89.7929306,0
Austria,Brixlegg,2010,7.151475906,35.4118042,51.3247261
Austria,Brixlegg,2013,4.920198441,14.29810047,49.90293121
Austria,Brixlegg,2014,15.30989647,58.67945099,23.14731407
Austria,Brixlegg,2015,7.314887047,78.13434601,7.357725143
Austria,Brixlegg,2016,8.735687256,88.81101227,0
Austria,Brixlegg,2017,9.950283051,52.52537537,29.73340416
Austria,Brixlegg,2018,5.01096344,11.11832142,71.015625
Austria,Brixlegg,2019,7.916611671,54.29962921,24.24038887
Austria,Bruck An Der Mur,2010,8.971022606,60.6352005,27.88355446
Austria,Bruck An Der Mur,2013,11.7771883,32.6396637,42.56880951
Austria,Bruck An Der Mur,2014,8.929840088,90.78488159,0
Austria,Bruck An Der Mur,2015,8.514757156,86.56497955,0
Austria,Bruck An Der Mur,2016,8.818289757,89.65081024,0
Austria,Bruck An Der Mur,2017,3.162098646,16.14902687,74.34307861
Austria,Bruck An Der Mur,2018,9.80663681,68.69773865,16.68801308
Austria,Bruck An Der Mur,2019,8.902629852,90.50827026,0
Austria,Burgfried,2013,1.151039481,7.811383247,68.57919312
Austria,Burgfried,2014,11.97097492,80.19476318,4.224163532
Austria,Burgfried,2015,9.956958771,36.94068909,46.22227478
Austria,Burgfried,2016,8.401162148,85.727211,2.293995142
Austria,Burgfried,2017,11.84283066,82.8842926,3.333146095
Austria,Burgfried,2018,8.944131851,90.93016815,0
Austria,Burgfried,2019,4.967974663,50.50672531,0
Austria,Dalaas,2010,8.920731544,90.69226837,7.45E-09
Austria,Dalaas,2013,7.881838799,84.01015472,7.57627058
Austria,Dalaas,2014,8.254208565,83.91609192,0
Austria,Dalaas,2015,8.898019791,90.46138,0
Austria,Dalaas,2016,11.64483929,40.48606491,27.09567642
Austria,Dalaas,2017,6.098641396,47.32047272,36.28864288
Austria,Dalaas,2018,8.947767258,90.96713257,0
Austria,Dalaas,2019,2.396245956,23.02728653,29.98548508
Austria,Deutschlandsberg,2010,9.809560776,53.32729721,26.84143066
Austria,Deutschlandsberg,2013,6.305018425,3.656659126,78.3327713
Austria,Deutschlandsberg,2014,14.49362373,55.10440826,6.988307953
Austria,Deutschlandsberg,2015,7.706659317,22.57932854,59.74349213
Austria,Deutschlandsberg,2016,7.802696228,83.05731964,7.286928177
Austria,Deutschlandsberg,2017,7.698150635,49.87854767,37.13420486
Austria,Deutschlandsberg,2018,7.969551086,5.283051968,68.96994781
Austria,Deutschlandsberg,2019,6.653030396,76.10933685,16.54309082
Austria,Donawitz,2013,8.646192551,87.90120697,0
Austria,Donawitz,2014,6.977220535,67.01831818,0.033821106
Austria,Donawitz,2015,3.989124298,42.75939178,41.41301346
Austria,Donawitz,2016,5.227519989,33.7665596,51.65436935
Austria,Donawitz,2017,1.711581111,5.747492313,80.1048584
Austria,Donawitz,2018,6.875624657,59.27121353,9.05380249
Austria,Donawitz,2019,8.567184448,87.53050232,0.84465313
Austria,Dornbirn,2010,4.825715065,32.41329956,30.01855469
Austria,Dornbirn,2013,8.946213722,90.95128632,0
Austria,Dornbirn,2014,9.883543015,88.14146423,0.106593013
Austria,Dornbirn,2015,8.911092758,90.59430695,0
Austria,Dornbirn,2016,9.391420364,67.21862793,21.53819847
Austria,Dornbirn,2017,18.59323883,19.01180458,55.01701736
Austria,Dornbirn,2018,26.91230392,60.21536636,12.07978535
Austria,Dornbirn,2019,7.17043829,77.74279022,12.30937195
Austria,Durnrohr,2013,8.048014641,84.67404938,5.57365036
Austria,Durnrohr,2014,7.739220619,80.51052094,3.573751926
Austria,Durnrohr,2015,8.851101875,89.98439789,0
Austria,Durnrohr,2016,12.77834129,27.13514328,2.417072773
Austria,Durnrohr,2017,22.97283745,66.11508942,9.799436569
Austria,Durnrohr,2018,23.43451881,43.13731766,27.11000633
Austria,Durnrohr,2019,0,0,0
Austria,Ebenthal,2010,8.859993935,90.07480621,0
Austria,Ebenthal In Karnten,2013,8.571084023,87.55601501,0.81705451
Austria,Ebenthal In Karnten,2014,9.459487915,88.49044037,1.218720317
Austria,Ebenthal In Karnten,2015,27.73516273,22.99904633,38.57459641
Austria,Ebenthal In Karnten,2016,8.826107025,89.73029327,2.98E-08
Austria,Ebenthal In Karnten,2017,7.11978054,76.28448486,12.93198872
Austria,Ebenthal In Karnten,2018,8.912646294,90.61005402,1.49E-08
Austria,Ebenthal In Karnten,2019,7.62976408,79.50938416,4.581534386
Austria,Eisenstadt,2010,8.537102699,87.63978577,1.655394912
Austria,Eisenstadt,2013,6.817623138,60.47079086,30.72717285
Austria,Eisenstadt,2014,7.578763008,78.34667969,4.385659695
Austria,Eisenstadt,2015,7.504687309,81.0428772,9.26936245
Austria,Eisenstadt,2016,9.514446259,64.25636292,18.80908585
Austria,Eisenstadt,2017,4.690169334,28.69943237,47.41381073
Austria,Eisenstadt,2018,8.786669731,89.32933044,0
Austria,Eisenstadt,2019,8.672818184,89.12737274,1.865891337
Austria,Enns,2010,12.17974472,36.07563782,45.80916595
Austria,Enns,2013,7.602106094,73.24045563,13.59539986
Austria,Enns,2014,6.307528019,68.67246246,18.75250816
Austria,Enns,2015,11.52947426,74.13941956,12.16942215
Austria,Enns,2016,12.2582798,76.5005188,6.575485229
Austria,Enns,2017,8.542444229,87.61675262,1.504311681
Austria,Enns,2018,8.901672363,90.49852753,0
Austria,Enns,2019,9.397455215,77.0539856,10.95957565
Austria,Feldkirch,2010,4.855545998,5.303593159,61.75366974
Austria,Feldkirch,2013,12.17438793,73.47785187,2.10532546
Austria,Feldkirch,2014,2.900455475,26.60886955,15.89343071
Austria,Feldkirch,2015,8.943543434,90.92415619,1.86E-09
Austria,Feldkirch,2016,15.1133585,72.49304199,6.748623848
Austria,Feldkirch,2017,9.356812477,87.70109558,0.420302391
Austria,Feldkirch,2018,22.17392921,24.38776588,50.8393364
Austria,Feldkirch,2019,0,0,0
Austria,Freistadt,2010,5.940483093,68.59004211,16.00576973
Austria,Freistadt,2013,8.072763443,83.64570618,6.570627213
Austria,Freistadt,2014,13.60324001,72.02579498,11.71014404
